Audience View,Date,Aggregation,Audience Size
Your total audience,2026-07-23,Monthly,31000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.478,1.423,Wedding Favors and Gifts,"{'name': 'Wedding Favors and Gifts', 'id': '945051572260'}",0.021,0.501
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.453,1.165,Toys,"{'name': 'Toys', 'id': '957620480011'}",0.675,1.1
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.453,1.165,Baby,"{'name': 'Baby', 'id': '933995299235'}",0.454,0.928
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.453,1.165,Parenting Advice,"{'name': 'Parenting Advice', 'id': '953388819553'}",0.091,0.435
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.453,1.165,Family Activities,"{'name': 'Family Activities', 'id': '953318189801'}",0.038,0.477
Parenting,"{'name': 'Parenting', 'id': '920236059316'}",0.453,1.165,Toddlers and Preschoolers,"{'name': 'Toddlers and Preschoolers', 'id': '936181027673'}",0.014,0.247
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Cars,"{'name': 'Cars', 'id': '950890153091'}",0.973,1.012
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Aircraft,"{'name': 'Aircraft', 'id': '923340792367'}",0.055,0.888
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Auto Services and Repair,"{'name': 'Auto Services and Repair', 'id': '895341869140'}",0.054,1.154
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Motorcycles and Scooter,"{'name': 'Motorcycles and Scooter', 'id': '927349329594'}",0.042,0.394
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Car and Motorcycle Design,"{'name': 'Car and Motorcycle Design', 'id': '896742500696'}",0.027,0.485
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.415,1.418,Watercraft,"{'name': 'Watercraft', 'id': '945927342064'}",0.019,0.625
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.401,1.211,Animals and Pet Supplies,"{'name': 'Animals and Pet Supplies', 'id': '903972677830'}",0.262,0.897
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.401,1.211,Mammals,"{'name': 'Mammals', 'id': '956932523301'}",0.122,0.568
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.401,1.211,Bird,"{'name': 'Bird', 'id': '952174338649'}",0.071,0.493
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.401,1.211,Arthropods,"{'name': 'Arthropods', 'id': '906756939414'}",0.046,0.843
Animals,"{'name': 'Animals', 'id': '925056443165'}",0.401,1.211,Sealife,"{'name': 'Sealife', 'id': '900726038026'}",0.011,0.45
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Style,"{'name': ""Men's Style"", 'id': '903212673711'}",0.304,0.783
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Shirts and Top,"{'name': ""Men's Shirts and Top"", 'id': '912569390244'}",0.155,0.845
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Outfit by Occasions,"{'name': ""Men's Outfit by Occasions"", 'id': '954653184301'}",0.127,0.739
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Accessories,"{'name': ""Men's Accessories"", 'id': '958492379934'}",0.034,0.961
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Coats and Jacket,"{'name': ""Men's Coats and Jacket"", 'id': '945254310457'}",0.016,0.942
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.24,1.149,Men's Shoes,"{'name': ""Men's Shoes"", 'id': '925332366872'}",0.016,0.379
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.111,2.11,Real Estate,"{'name': 'Real Estate', 'id': '961375696718'}",0.036,1.061
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.111,2.11,Financial Planning,"{'name': 'Financial Planning', 'id': '922373956527'}",0.02,0.391
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.063,1.23,Teen Clothing,"{'name': 'Teen Clothing', 'id': '930262486893'}",0.351,1.115
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.063,1.23,Children Clothing,"{'name': 'Children Clothing', 'id': '956070689933'}",0.131,0.417
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.063,1.23,Baby Clothing,"{'name': 'Baby Clothing', 'id': '896035134714'}",0.094,0.811

Countries,Percent of audience
Other,0.553
"Korea, Republic of",0.11
India,0.088
United States,0.06
Vietnam,0.042
Indonesia,0.039
Thailand,0.033
Bangladesh,0.027
Russian Federation,0.025
Egypt,0.023

Metros,Percent of audience
New York,0.089
Los Angeles,0.084
"Washington, DC (Hagrstwn)",0.041
San Francisco-Oak-San Jose,0.027
Seattle-Tacoma,0.022
Chicago,0.017
Cleveland-Akron (Canton),0.014
Dallas-Ft. Worth,0.014
"Charleston, SC",0.012
Philadelphia,0.012

Gender,Percent of audience
Female,0.764
Male,0.179
Unspecified & custom,0.057

Device,Percent of audience
Web,0.561
iPhone,0.403
Android Mobile,0.27
iPad,0.059
Mobile Web,0.043
Android Tablet,0.024

Age,Percent of audience
25-34,0.501
18-24,0.311
35-44,0.112
45-49,0.018
50-54,<1%
55-64,<1%
65+,<1%

